
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : September 5, 2026 9:41:09 PM
   Source : C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\
     Dest : X:\SKYRIM\STOCK GAME\

    Files : *.*
	    
  Options : *.* /TEE /S /E /DCOPY:DA /COPY:DAT /J /NP /MT:8 /R:2 /W:2 

------------------------------------------------------------------------------

	    New File  		  17.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse036-petbwolf.bsa
	    New File  		  135121	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse036-petbwolf.esl
	    New File  		 106.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse037-curios.bsa
	    New File  		   37476	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse037-curios.esl
	    New File  		   6.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse038-bowofshadows.bsa
	    New File  		  114743	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse038-bowofshadows.esl
	    New File  		  73.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse040-advobgobs.bsa
	    New File  		  316111	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse040-advobgobs.esl
	    New File  		 116.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse041-netchleather.bsa
	    New File  		  263377	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse041-netchleather.esl
	    New File  		  32.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse043-crosselv.bsa
	    New File  		  143881	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse043-crosselv.esl
	    New File  		   6.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse045-hasedoki.bsa
	    New File  		  117019	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse045-hasedoki.esl
	    New File  		  25.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse050-ba_daedric.bsa
	    New File  		  118387	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse050-ba_daedric.esl
	    New File  		  45.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse051-ba_daedricmail.bsa
	    New File  		  121476	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse051-ba_daedricmail.esl
	    New File  		  39.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse052-ba_iron.bsa
	    New File  		  114892	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccbgssse052-ba_iron.esl
