"Item","ModId","Name","Installed","As"
"Y-2","87169","Comprehensive First Person Animation Overhaul","True","Comprehensive First Person Animation Overhaul"
"Y-2","45148","Conditional Expressions","False",""
"Y-2","63232","EVG Animated Traversal","True","EVG Animated Traversal"
"Y-2","34006","EVG Conditional Idles","True","EVG Conditional Idles"
"Y-2","19181","Expressive Facial Animation Female","True","Expressive Facial Animation Female"
"Y-2","70204","Goetia magic casting","True","Goetia Animations"
"Y-2","36889","Jump Behavior Overhaul","True","Jump Behavior Overhaul"
"Y-2","19532","Male","True","Expressive Facial Animation Male"
"Y-2","99621","Paired Animation Improvements","True","Paired Animation Improvements"
"Y-2","65089","Payload Interpreter","True","Payload Interpreter"
"Y-3","52130","Apothecary","False",""
"Y-3","19608","Encounter Zones Unlocked","False",""
"Y-3","51847","Headhunter","False",""
"Y-3","61015","Honed Metal","False",""
"Y-3","57138","Thaumaturgy","False",""
"Y-4","1461","Inigo","True","Inigo"
"Y-4","20035","Lucien","True","Lucien"
"Y-4","51874","Remiel","True","Remiel"
"Y-4","11278","Song of the Green (Auri)","True","Song of the Green - Auri"
"Y-5","65708","Caught Red Handed","False",""
"Y-5","66666","College of Winterhold","False",""
"Y-5","57285","House of Horrors","False",""
"Y-5","80974","Innocence Lost","False",""
"Y-5","22206","Konahrik's Accoutrements","False",""
"Y-5","20514","Obscure's College of Winterhold","False",""
"Y-5","51711","Paarthurnax","False",""
"Y-5","72772","Skyrim Extended Cut - Saints and Seducers","False",""
"Y-5","57683","The Only Cure","False",""
"Y-5","76606","The Whispering Door","False",""
"Y-6","56123","CoMAP marker addons","False",""
"Y-6","79975","ConsolePlusPlus","True","ConsolePlusPlus"
"Y-6","85702","Inventory Interface Information Injector","True","Inventory Interface Information Injector"
"Y-6","12688","moreHUD SE","True","moreHUD SE"
"Y-6","27859","Skyrim Souls RE","True","Skyrim Souls RE"
"Y-7","35382","aMidianBorn Book of Silence","True","aMidianBorn Book of Silence"
"Y-7","34100","Armor Variants Expansion","False",""
"Y-7","1067","Beards","False",""
"Y-7","901","Book Covers Skyrim","True","Book Covers Skyrim"
"Y-7","4294","Gemling Queen Jewelry","True","Gemling Queen Jewelry"
"Y-7","55030","HDT-SMP for Cloaks and Capes","False",""
"Y-7","824","Improved closefaced helmets","True","Improved Closefaced Helmets"
"Y-7","3240","Left Hand Rings Modified","False",""
"Y-7","112481","Nirn Necessities SMP","False",""
"Y-7","63979","Vanilla hair remake","False",""
"Y-8","21220","Alternate Conversation Camera","False",""
"Y-8","667","Campfire","False",""
"Y-8","29194","Interesting NPCs (3DNPC)","False",""
"Y-8","13409","Patch Compendium","False",""
"Y-8","2650","RS Children Overhaul","False",""
"Z-1","61251","LOD Unloading Bug Fix","False",""
"Z-1","97155","SCROTE script optimization","False",""
"Z-1","160704","Skyrim Cell Load Freeze Fix NG","False",""
"Z-1","62413","WIDeadBodyCleanupScript Crash Fix","False",""
"Z-2","91701","Photo Mode","False",""
"Z-3","99619","Artificer","False",""
"Z-3","43500","Enhanced Reanimation","False",""
"Z-3","59529","Lock Add-ons","False",""
"Z-3","4455","Lost Grimoire","False",""
"Z-3","49681","Open World Loot","False",""
"Z-3","54099","Pilgrim - A Religion Overhaul","False",""
"Z-3","62781","Regional Locks","False",""
"Z-3","148388","Sanguine Symphony","False",""
"Z-3","58224","Security Overhaul SKSE - Lock Variations","False",""
"Z-3","66908","Take a Peek","False",""
"Z-4","36063","Authentic Eyes","False",""
"Z-4","1139","Horns Are Forever","False",""
"Z-4","62508","Koralina's Freckles and Moles","False",""
"Z-4","63181","Valkyr HDT-SMP Hairstyles","False",""
"Z-4","19594","Weathered Nordic Bodypaints","False",""
"Z-5","132629","Chevalier's Armor Set HDT-SMP","False",""
"Z-5","1953","Face Masks of Skyrim","False",""
"Z-5","107437","Gryphonknight Regalia SMP and PBR","False",""
"Z-5","141700","Master Thief Armor 3BA-BHUNP","False",""
"Z-5","13571","Pierced Ears","False",""
"Z-5","49030","Reforging - To the Masses","False",""
"Z-5","2385","Wizard Hats","False",""
"Z-7","67725","Better Blended Mushrooms","False",""
"Z-7","79332","Better Butterflies","False",""
"Z-7","18033","Cathedral Snow","False",""
"Z-7","8766","Farmhouse Chimneys","False",""
"Z-7","19077","GKB Waves","False",""
"Z-7","78702","Simple Snow Improvements","False",""
"Z-7","112902","Skyking Signs","False",""
